"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0559994882081043 0.0635738242576286 0.0596361971074686 0.0596522313299156 0.06
"Low prevalence pop" "Low prevalence pop" 0.00965153547728693 0.0127878523600225 0.0112716527133423 0.0112679562783901 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.682955164390849 0.778231399191166 0.730657199155867 0.730722006351984 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.632641082629405 0.700795054054131 0.666395512002452 0.666627194123355 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.6624147415833 0.742429816446371 0.70127745513801 0.701640298493377 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.640856734536936 0.703324581268969 0.671226918758474 0.67138997514364 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.999042491290951 0.999999908094504 0.999610346282055 0.999566012991048 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998923237557199 0.999999310602648 0.999629591010194 0.999562696137256 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.997930258650666 0.999564271922926 0.998762210987606 0.998745544775441 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.998556956899025 0.999996225689283 0.999335785520803 0.999304875016487 0.999
"v.efficacy" "v.efficacy" 0.508917420623596 0.642974340787921 0.573668812814266 0.57459900571689 0.6
