"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0517355781254156 0.0608357888161928 0.0562856630959238 0.0563034192783585 0.06
"Low prevalence pop" "Low prevalence pop" 0.00664733241013844 0.0102185829128117 0.00835836281771982 0.00842787853651707 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.674821664256184 0.803460358845122 0.738958508564103 0.738700363106697 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.663932953599659 0.756365069383491 0.712225781511135 0.712479393461932 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.661422088117641 0.785258555661852 0.721017770496562 0.721569075388529 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.685221552411877 0.772394949042042 0.72884790881138 0.728593272042347 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.997199360597174 0.999154064986893 0.998202723107285 0.998183388057573 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.996879492447914 0.99914273649166 0.998113004347637 0.998098221001072 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.996905260694186 0.998878865270625 0.997963132990438 0.997945822488156 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.99684228333901 0.999246350906774 0.998039473840634 0.998031848936603 0.999
"v.efficacy" "v.efficacy" 0.465379835934693 0.629048692900589 0.546304911253263 0.547542328616587 0.6
