"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0571937410672292 0.0637156710401335 0.060350912146433 0.0603869422153056 0.06
"Low prevalence pop" "Low prevalence pop" 0.00826203676282508 0.0105824873821415 0.00934261703219653 0.00938239095533829 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.832967759964845 0.891984013490336 0.86241266040745 0.862749425734247 0.85
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.849426029288291 0.901473420825357 0.875037163634511 0.874992915245476 0.85
"SeStd vaccine pop" "SeStd vaccine pop" 0.817629349514915 0.879451861431274 0.850400600232084 0.850527659098042 0.85
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.839429644993333 0.886996652670571 0.86259893202658 0.862465135849979 0.85
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997983104088074 0.999397356022764 0.998710466021347 0.99870161229004 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998593981856517 0.999934795011712 0.999305446094994 0.999294967003908 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.998321102707084 0.999585675832159 0.998979851751181 0.998967186176418 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997403737711577 0.999044706911263 0.998258154430119 0.998244704926589 0.999
"v.efficacy" "v.efficacy" 0.68392241144575 0.817099123021098 0.748982718962249 0.749208357763303 0.75
