"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0538128047698345 0.076633597596163 0.0651781965336241 0.0652509268594901 0.06
"Low prevalence pop" "Low prevalence pop" 0.00731810132679059 0.0173040891738852 0.0116806550318146 0.011967661635604 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.651618569330818 0.884662406375036 0.776280808187733 0.773043971620367 0.85
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.691225368825618 0.860253548149962 0.783138971509468 0.782243129902376 0.85
"SeStd vaccine pop" "SeStd vaccine pop" 0.721921962787761 1.03615484276495 0.873412266312576 0.875517078589883 0.85
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.771575977369035 0.952813067831787 0.865515828276422 0.864494056018942 0.85
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.994263546097564 1.0000565716039 0.997509914074513 0.997385410687166 0.9999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.995449697723658 1.00106013696481 0.998512417224531 0.99847066479468 0.9999
"SpStd vaccine pop" "SpStd vaccine pop" 0.99852418408544 1.00214366009679 1.00057024807383 1.00050302233981 0.9999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99883935699752 1.003363746039 1.00115725685498 1.00113145514767 0.9999
"v.efficacy" "v.efficacy" 0.380936363896389 0.741223464874148 0.539374315417859 0.547047501679035 0.6
