"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0591735398169856 0.0629173205947907 0.0610196944105776 0.0610201754620072 0.06
"Low prevalence pop" "Low prevalence pop" 0.00903852360018318 0.0105878396838041 0.00982802196714214 0.009831745024323 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.698816811014977 0.740007215234647 0.718654368765571 0.718613677882049 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.68330447613458 0.715401111948896 0.699280940897433 0.699291927037963 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.70024319231753 0.743379868880809 0.720524397434752 0.720786856438347 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.684889890370895 0.717333557086243 0.700011308588373 0.700248319219199 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998330816365893 0.999039789645706 0.998702752666875 0.998700674445807 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998758790324063 0.999602738953209 0.999190816971951 0.999186462158492 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.998483734479679 0.999150024121243 0.998824054018502 0.998822036968963 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998473679325921 0.999337816325835 0.99892040345045 0.99892061552513 0.999
"v.efficacy" "v.efficacy" 0.526170961919656 0.588726140092033 0.557394785462522 0.557722818399501 0.6
