"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0376099109406331 0.0588119082445656 0.0483706443552435 0.0485497090415123 0.06
"Low prevalence pop" "Low prevalence pop" 0.00406247579322575 0.0134639042725123 0.00825672037421538 0.00852102533326945 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.555738136160053 0.855665746525281 0.695555873715545 0.69746025581268 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.619944989015146 0.857098639825519 0.742234796587962 0.741430549130298 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.52306814063722 0.829006058549983 0.683098173562035 0.68573514595307 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.603127082892056 0.866829909968849 0.739912795005696 0.741731653184425 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.996202732408907 1.00147664401763 0.9989888007615 0.998899453547456 0.9999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.993836820755398 1.00050049149701 0.997434990235622 0.997284894553164 0.9999
"SpStd vaccine pop" "SpStd vaccine pop" 0.996607368790349 1.00155798667734 0.999385604848645 0.999259657670542 0.9999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997247370919667 1.00233997490226 0.999787199766436 0.999690921031701 0.9999
"v.efficacy" "v.efficacy" 0.521552387128335 0.993458275907711 0.734888451691766 0.733188400773906 0.75
