"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0505543635378631 0.0631677778465778 0.056586605896368 0.056741151594843 0.06
"Low prevalence pop" "Low prevalence pop" 0.00702483165902039 0.012402558072574 0.00955960730233364 0.00964431704754672 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.44903004570425 0.554587610385104 0.501639600266869 0.502209785523767 0.5
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.461193337655474 0.554582641300854 0.507958293904479 0.507888878894083 0.5
"SeStd vaccine pop" "SeStd vaccine pop" 0.466773031160155 0.57936194471817 0.516066613757233 0.516859558025064 0.5
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.452819448072059 0.544848463198663 0.501817913815191 0.501777492187355 0.5
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997952426731179 0.999859693275686 0.998898603610623 0.998895489474487 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997361139581827 0.999699610483886 0.998489179508423 0.998500291054965 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.9984843259981 1.00028603876513 0.999398162604488 0.999397955976405 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998073870346732 1.00029074833748 0.999147584330405 0.999166419892382 0.999
"v.efficacy" "v.efficacy" 0.575663276106339 0.812534685560279 0.695936041336984 0.697592296007296 0.6
