"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.051936382967107 0.106424447580416 0.0752907673907038 0.0768250004703907 0.06
"Low prevalence pop" "Low prevalence pop" 0.00411222352539572 0.0314140566838317 0.0137147214573868 0.0153562246037799 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.197446385033631 0.840695809285992 0.480977078207327 0.507518551877054 0.5
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.365573872526574 0.648761250270335 0.498664213774002 0.502363973745945 0.5
"SeStd vaccine pop" "SeStd vaccine pop" 0.171143159856119 4.54711824263401 0.654495366010647 1.09400586257286 0.5
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.28222482265176 0.531017969965374 0.410985590439083 0.412280406607381 0.5
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.992725302310703 0.999470231978048 0.996250195466343 0.996124688081191 0.9987
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.994312306105655 1.00534119856669 0.999300624326917 0.999602373146523 0.9987
"SpStd vaccine pop" "SpStd vaccine pop" 0.995532282319384 1.00094494180936 0.998446097013481 0.998366845725627 0.9987
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.995797075276269 1.00413078607342 0.999674288023309 0.999820788959891 0.9987
"v.efficacy" "v.efficacy" 0.00524715332035842 0.363102392841284 0.168961819479072 0.179391648404355 0.3
