"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0541172948008494 0.0617209747763139 0.0578678733631192 0.0578571842682539 0.06
"Low prevalence pop" "Low prevalence pop" 0.00817541003460403 0.0113747001710185 0.00969657494948859 0.00974166121329804 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.611749259294399 0.694029714114556 0.65285370616377 0.652833114958945 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.685019074350234 0.754698212788303 0.718242753675413 0.717911227170805 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.611261592089495 0.69700837138607 0.653134179734405 0.653331899415271 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.689957944394513 0.76527542323315 0.728717722736272 0.728542408484809 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997946635108623 0.999761934135272 0.998858232219651 0.998843459624985 0.9987
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.99692554273259 0.998985936724814 0.998002319447983 0.997987903768191 0.9987
"SpStd vaccine pop" "SpStd vaccine pop" 0.998273521475922 1.00000468677256 0.99912998583319 0.99914264050791 0.9987
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997688818509888 0.999608240574884 0.998666555239442 0.998655790769687 0.9987
"v.efficacy" "v.efficacy" 0.754402825683143 0.944103480931078 0.845446184166529 0.847288935781836 0.75
