"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0567626055254449 0.0650417125373858 0.0609129777935354 0.0609047013934722 0.06
"Low prevalence pop" "Low prevalence pop" 0.00836844654464534 0.0115293794148812 0.00989503211809108 0.00990358145357015 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.660491065740099 0.747025951828661 0.703980243922219 0.704010264839961 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.65887951020712 0.721190098815626 0.688864991822798 0.689083000124518 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.646862306007846 0.734130316581678 0.69075122204413 0.690662343754503 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.693147425781475 0.759911527830732 0.727003915100283 0.727154828308876 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998867889296884 0.999994932545368 0.999467967290393 0.999440791759726 0.9993
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998267299722757 0.999850683242804 0.999118387251361 0.999084043977442 0.9993
"SpStd vaccine pop" "SpStd vaccine pop" 0.998605632155574 0.999855877764681 0.999268422135025 0.999239661528014 0.9993
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999017034395113 0.999999955367178 0.999664691775673 0.999603456398787 0.9993
"v.efficacy" "v.efficacy" 0.454528252794699 0.588769419081585 0.521978949329742 0.52283705908683 0.6
