"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0564547048117347 0.0668494074146654 0.0617567100378704 0.0617333110483516 0.06 50000 0.9992 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00845162226179888 0.0124394447411172 0.0103402943619473 0.0103446780326804 0.01 50000 0.9992 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.629048165515511 0.745401930071388 0.688892525200915 0.689338571771855 0.7 50000 0.9992 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.667475911727036 0.753839471165324 0.706845434449395 0.707655181938828 0.7 50000 0.9992 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.661766089532709 0.777898591362398 0.719651054169891 0.72043496822887 0.7 50000 0.9992 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.675296378150529 0.758525335418618 0.715743263395511 0.716138196150118 0.7 50000 0.9992 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998335958739975 0.999990353763827 0.999248086826151 0.999194151100473 0.9992 50000 0.9992 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998524076656703 0.999997165340396 0.999429374616222 0.999358988518635 0.9992 50000 0.9992 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998362189172838 0.99999658950423 0.999283320793605 0.999221421734852 0.9992 50000 0.9992 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998263342331091 0.999999763482118 0.999320928034665 0.999231748869924 0.9992 50000 0.9992 "30+/100-"
"v.efficacy" "v.efficacy" 0.512734058936316 0.690572965021174 0.598831132096237 0.599720655487621 0.6 50000 0.9992 "30+/100-"
