"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0471204289313058 0.0735005546412603 0.0601288012325035 0.0602142892690063 0.06
"Low prevalence pop" "Low prevalence pop" 0.00502721161680133 0.0141309059502131 0.00928372891268322 0.00948495629020722 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.633613299761783 0.90043227688533 0.76022130024257 0.762829871224985 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.587918989321477 0.816902959740633 0.700232785825842 0.701047256174308 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.597329326522559 0.899338129039606 0.750100545619194 0.751820709186502 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.625249484032608 0.852812452219066 0.736076246941759 0.738379664316252 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.995370611181705 0.999959169781066 0.997842100190799 0.997717394287793 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.994313800943239 0.999945879338083 0.99729057738565 0.997172508382179 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.996750196614385 0.999999450144821 0.998893259713223 0.998675351713245 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.99392969506879 0.99999355473946 0.997307781757362 0.997082763525664 0.999
"v.efficacy" "v.efficacy" 0.349116572241713 0.75727329890437 0.538523952162054 0.54560480437148 0.6
