"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0579145061130803 0.0657264084912828 0.061834683553049 0.0618257112646316 0.06
"Low prevalence pop" "Low prevalence pop" 0.00851042226703436 0.0118163248239112 0.0100730621691103 0.0100908419460077 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.642479247088652 0.737084918329983 0.693557874951213 0.693658950959817 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.678922097294254 0.745944132154083 0.711387776705122 0.711711613086796 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.6398903919932 0.737822233356626 0.687621079626959 0.687495552911455 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.662267558388241 0.727076621623554 0.695335007163252 0.695469577410491 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.997872488628235 0.999481753655004 0.998679676899934 0.998666147706752 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998000548311865 0.999816164982378 0.998899741090601 0.998893811502997 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.998418999321574 0.999869545099752 0.999171382491844 0.999153718905803 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.998069489915174 0.999793156409792 0.998939479229402 0.998923877012649 0.999
"v.efficacy" "v.efficacy" 0.499627957798498 0.630805680428711 0.562528990845863 0.562953768539387 0.6
